GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GENE_PRODUCT_SYNONYMS	GENE_PRODUCT_TYPE	GO ASPECT
UniProtKB	A0A024R0Y4	TADA2A	involved_in	GO:0000278	mitotic cell cycle	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8CHV6|ensembl:ENSMUSP00000018795	9606	Ensembl		TADA2A,TADA2L,hCG_28187	protein	P
UniProtKB	A0A024R0Y4	TADA2A	involved_in	GO:0051726	regulation of cell cycle	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8CHV6|ensembl:ENSMUSP00000018795	9606	Ensembl		TADA2A,TADA2L,hCG_28187	protein	P
UniProtKB	A0A075B6H4	KAT14	involved_in	GO:0000086	G2/M transition of mitotic cell cycle	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8CID0|ensembl:ENSMUSP00000028911	9606	Ensembl		KAT14	protein	P
UniProtKB	A0A075B6H4	KAT14	involved_in	GO:0051726	regulation of cell cycle	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8CID0|ensembl:ENSMUSP00000028911	9606	Ensembl		KAT14	protein	P
UniProtKB	A0A087WXM9	MEIKIN	involved_in	GO:0007060	male meiosis chromosome segregation	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q5F2C3	9606	UniProt		MEIKIN	protein	P
UniProtKB	A0A087WXM9	MEIKIN	involved_in	GO:0007060	male meiosis chromosome segregation	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q5F2C3|ensembl:ENSMUSP00000091745	9606	Ensembl		MEIKIN	protein	P
UniProtKB	A0A087WXM9	MEIKIN	involved_in	GO:0010789	meiotic sister chromatid cohesion involved in meiosis I	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q5F2C3	9606	UniProt		MEIKIN	protein	P
UniProtKB	A0A087WXM9	MEIKIN	involved_in	GO:0010789	meiotic sister chromatid cohesion involved in meiosis I	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q5F2C3|ensembl:ENSMUSP00000091745	9606	Ensembl		MEIKIN	protein	P
UniProtKB	A0A087WXM9	MEIKIN	involved_in	GO:0016321	female meiosis chromosome segregation	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q5F2C3	9606	UniProt		MEIKIN	protein	P
UniProtKB	A0A087WXM9	MEIKIN	involved_in	GO:0016321	female meiosis chromosome segregation	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q5F2C3|ensembl:ENSMUSP00000091745	9606	Ensembl		MEIKIN	protein	P
